product_category_name_english,product_category_name_danish
health_beauty,Sundhedsskønhed
computers_accessories,Computere tilbehør
auto,Auto
bed_bath_table,Bed badebord
furniture_decor,Møbelindretning
sports_leisure,Sports fritid
perfumery,Parfume
housewares,Husholdningsartikler
telephony,Telefoni
watches_gifts,Ser gaver
food_drink,Maddrink
baby,Baby
stationery,Brevpapir
tablets_printing_image,Tabletter udskrivning af billede
toys,Legetøj
fixed_telephony,Fast telefoni
garden_tools,Haveværktøjer
fashion_bags_accessories,Modeposer tilbehør
small_appliances,Små apparater
consoles_games,Konsoller spil
audio,Lyd
fashion_shoes,Modesko
cool_stuff,Seje ting
luggage_accessories,Tilbehør til bagage
air_conditioning,Aircondition
construction_tools_construction,Konstruktion af konstruktionsværktøjer
kitchen_dining_laundry_garden_furniture,Køkken spisning vaskeri havemøbler
costruction_tools_garden,Kostruktionsværktøjer have
fashion_male_clothing,Mode mandlige tøj
pet_shop,Pet shop
office_furniture,Kontormøbler
market_place,Markedsplads
electronics,Elektronik
home_appliances,Hjemmeapparater
party_supplies,Festartikler
home_confort,Hjem conford
costruction_tools_tools,Kostruktionsværktøjsværktøjer
agro_industry_and_commerce,Agroindustri og handel
furniture_mattress_and_upholstery,Møbelmadras og polstring
books_technical,Bøger teknisk
home_construction,Hjemkonstruktion
musical_instruments,Musikinstrumenter
furniture_living_room,Møbler stue
construction_tools_lights,Konstruktionsværktøjer lys
industry_commerce_and_business,Industriens handel og forretning
food,Mad
art,Kunst
furniture_bedroom,Møbler soveværelse
books_general_interest,Bøger generel interesse
construction_tools_safety,Konstruktionsværktøjssikkerhed
fashion_underwear_beach,Mode undertøjstrand
fashion_sport,Mode sport
signaling_and_security,Signalering og sikkerhed
computers,Computere
christmas_supplies,Julartikler
fashio_female_clothing,Fashio kvindeligt tøj
home_appliances_2,Hjemmeapparater 2
books_imported,Bøger importeret
drinks,Drinks
cine_photo,Cine foto
la_cuisine,La køkken
music,Musik
home_comfort_2,Hjem komfort 2
small_appliances_home_oven_and_coffee,Små apparater hjemmeovn og kaffe
cds_dvds_musicals,Cds dvds -musicals
dvds_blu_ray,Dvds blu ray
flowers,Blomster
arts_and_craftmanship,Kunst og håndværk
diapers_and_hygiene,Bleer og hygiejne
fashion_childrens_clothes,Mode børns tøj
security_and_services,Sikkerhed og tjenester
